new_index,gid,team_slug_home,away_home_home,fg_home,fga_home,fg%_home,3p_home,3pa_home,3p%_home,ft_home,fta_home,ft%_home,orb_home,drb_home,trb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,betting_line_home,betting_line_terms,team_slug_away,away_home_away,fg_away,fga_away,fg%_away,3p_away,3pa_away,3p%_away,ft_away,fta_away,ft%_away,orb_away,drb_away,trb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,date,betting_line_away,over_under_terms,over_under
0,201311010ATL,ATL,home,36,77,0.468,10,23,0.435,20,31,0.645,7,30,37,24,7,3,13,12,102,-3.5,-104.0,TOR,away,40,88,0.455,7,23,0.304,8,14,0.571,10,32,42,15,5,6,12,25,95,2013-11-01,3.5,-113.0,195.0
1,201311090ATL,ATL,home,43,90,0.478,6,19,0.316,12,17,0.706,7,32,39,36,9,6,12,15,104,-6.5,-109.0,ORL,away,38,82,0.463,8,17,0.471,10,18,0.556,9,27,36,22,9,2,17,24,94,2013-11-09,6.5,-108.0,199.0
2,201311130ATL,ATL,home,35,77,0.455,5,24,0.208,16,21,0.762,8,39,47,22,1,6,15,15,91,-4.5,-103.0,NYK,away,37,88,0.42,12,34,0.353,9,13,0.692,8,29,37,24,11,3,3,19,95,2013-11-13,4.5,-105.0,201.5
3,201311150ATL,ATL,home,39,81,0.481,10,23,0.435,25,31,0.806,6,37,43,25,6,5,15,23,113,-8.5,-105.0,PHI,away,40,86,0.465,5,19,0.263,18,23,0.783,9,30,39,21,6,4,16,19,103,2013-11-15,8.5,-105.0,207.0
4,201311200ATL,ATL,home,36,71,0.507,4,15,0.267,17,24,0.708,5,33,38,23,11,8,21,12,93,-5.5,-106.0,DET,away,35,87,0.402,6,22,0.273,9,12,0.75,15,28,43,17,13,5,15,21,85,2013-11-20,5.5,-110.0,202.0
5,201311230ATL,ATL,home,36,93,0.387,5,20,0.25,10,12,0.833,12,26,38,23,8,3,8,26,87,-9.0,-107.0,BOS,away,33,72,0.458,4,16,0.25,24,31,0.774,7,40,47,18,3,7,17,14,94,2013-11-23,9.0,-105.0,194.5
6,201311260ATL,ATL,home,30,73,0.411,9,22,0.409,23,27,0.852,4,31,35,22,7,5,14,19,92,-7.0,-113.0,ORL,away,42,83,0.506,8,22,0.364,17,20,0.85,6,37,43,29,8,3,12,20,109,2013-11-26,7.0,-105.0,199.0
7,201311290ATL,ATL,home,31,73,0.425,3,15,0.2,23,30,0.767,9,34,43,19,10,4,16,16,88,1.5,-104.0,DAL,away,29,77,0.377,9,24,0.375,20,21,0.952,10,34,44,17,9,4,18,21,87,2013-11-29,-1.5,-104.0,202.0
8,201312040ATL,ATL,home,42,82,0.512,12,23,0.522,11,16,0.688,8,32,40,28,4,4,11,22,107,2.5,-107.0,LAC,away,39,83,0.47,4,19,0.211,15,20,0.75,7,29,36,22,4,2,12,16,97,2013-12-04,-2.5,-107.0,203.5
9,201312060ATL,ATL,home,47,91,0.516,8,23,0.348,6,11,0.545,14,36,50,31,6,3,12,18,108,-6.0,-105.0,CLE,away,38,94,0.404,5,20,0.25,8,17,0.471,16,31,47,19,4,2,11,11,89,2013-12-06,6.0,-106.0,195.5
