date_2,gid,team_slug_1,fg_1,fga_1,fg%_1,3p_1,3pa_1,3p%_1,ft_1,fta_1,ft%_1,orb_1,drb_1,trb_1,ast_1,stl_1,blk_1,tov_1,pf_1,pts_1,home_1,betting_line_1,team_slug_2,fg_2,fga_2,fg%_2,3p_2,3pa_2,3p%_2,ft_2,fta_2,ft%_2,orb_2,drb_2,trb_2,ast_2,stl_2,blk_2,tov_2,pf_2,pts_2,home_2,betting_line_2,off_rating_1,off_rating_2,over_under
2013-10-30,201310300DAL,ATL,37,76,0.487,8,24,0.333,27,35,0.771,5,28,33,27,16,5,17,20,109,0,6.0,DAL,44,77,0.571,11,24,0.458,19,24,0.792,7,35,42,31,7,2,20,22,118,1,-6.0,108.28,117.23,195.5
2013-10-30,201310300DAL,DAL,44,77,0.571,11,24,0.458,19,24,0.792,7,35,42,31,7,2,20,22,118,1,-6.0,ATL,37,76,0.487,8,24,0.333,27,35,0.771,5,28,33,27,16,5,17,20,109,0,6.0,117.23,108.28,195.5
2013-11-01,201311010ATL,ATL,36,77,0.468,10,23,0.435,20,31,0.645,7,30,37,24,7,3,13,12,102,1,-3.5,TOR,40,88,0.455,7,23,0.304,8,14,0.571,10,32,42,15,5,6,12,25,95,0,3.5,108.92,101.45,195.0
2013-11-01,201311010ATL,TOR,40,88,0.455,7,23,0.304,8,14,0.571,10,32,42,15,5,6,12,25,95,0,3.5,ATL,36,77,0.468,10,23,0.435,20,31,0.645,7,30,37,24,7,3,13,12,102,1,-3.5,101.45,108.92,195.0
2013-11-03,201311030LAL,ATL,40,90,0.444,9,22,0.409,14,26,0.538,10,42,52,26,9,3,11,22,103,0,1.0,LAL,38,89,0.427,9,25,0.36,20,24,0.833,6,47,53,27,5,7,13,24,105,1,-1.0,99.62,101.55,206.5
2013-11-03,201311030LAL,LAL,38,89,0.427,9,25,0.36,20,24,0.833,6,47,53,27,5,7,13,24,105,1,-1.0,ATL,40,90,0.444,9,22,0.409,14,26,0.538,10,42,52,26,9,3,11,22,103,0,1.0,101.55,99.62,206.5
2013-11-05,201311050SAC,ATL,39,81,0.481,8,22,0.364,19,26,0.731,9,27,36,26,11,7,14,15,105,0,2.0,SAC,35,80,0.438,10,31,0.323,20,21,0.952,10,29,39,22,10,4,18,26,100,1,-2.0,111.62,106.3,199.5
2013-11-05,201311050SAC,SAC,35,80,0.438,10,31,0.323,20,21,0.952,10,29,39,22,10,4,18,26,100,1,-2.0,ATL,39,81,0.481,8,22,0.364,19,26,0.731,9,27,36,26,11,7,14,15,105,0,2.0,106.3,111.62,199.5
2013-11-07,201311070DEN,ATL,43,94,0.457,8,26,0.308,13,19,0.684,13,33,46,31,11,9,11,23,107,0,5.0,DEN,42,86,0.488,14,25,0.56,11,17,0.647,10,35,45,28,4,8,16,18,109,1,-5.0,109.37,111.41,203.0
2013-11-07,201311070DEN,DEN,42,86,0.488,14,25,0.56,11,17,0.647,10,35,45,28,4,8,16,18,109,1,-5.0,ATL,43,94,0.457,8,26,0.308,13,19,0.684,13,33,46,31,11,9,11,23,107,0,5.0,111.41,109.37,203.0
2013-11-09,201311090ATL,ATL,43,90,0.478,6,19,0.316,12,17,0.706,7,32,39,36,9,6,12,15,104,1,-6.5,ORL,38,82,0.463,8,17,0.471,10,18,0.556,9,27,36,22,9,2,17,24,94,0,6.5,107.04,96.75,199.0
2013-11-09,201311090ATL,ORL,38,82,0.463,8,17,0.471,10,18,0.556,9,27,36,22,9,2,17,24,94,0,6.5,ATL,43,90,0.478,6,19,0.316,12,17,0.706,7,32,39,36,9,6,12,15,104,1,-6.5,96.75,107.04,199.0
2013-11-11,201311110CHA,ATL,35,76,0.461,10,27,0.37,23,28,0.821,6,35,41,26,7,3,13,22,103,0,-2.0,CHA,33,81,0.407,5,13,0.385,23,29,0.793,10,30,40,22,4,0,14,24,94,1,2.0,109.53,99.96,197.0
2013-11-11,201311110CHA,CHA,33,81,0.407,5,13,0.385,23,29,0.793,10,30,40,22,4,0,14,24,94,1,2.0,ATL,35,76,0.461,10,27,0.37,23,28,0.821,6,35,41,26,7,3,13,22,103,0,-2.0,99.96,109.53,197.0
